,0,1,2
0,2.5,24,"[12, 46]"
1,1.0,29,"[13, 16, 19]"
2,2.25,27,"[39, 43]"
3,2.5,22,"[32, 46]"
4,5.25,15,[34]
5,6.0,16,"[22, 25]"
6,3.0,17,[27]
7,5.0,16,[25]
8,3.5,25,"[28, 36]"
9,4.5,14,"[12, 15]"
10,3.25,9,[33]
11,1.25,21,"[25, 43]"
12,3.25,30,"[33, 36, 39]"
13,3.5,43,"[19, 22]"
14,4.75,21,"[13, 16]"
15,4.5,13,"[12, 15]"
16,3.75,13,"[31, 34]"
17,2.75,12,"[32, 41]"
18,5.25,13,"[11, 14]"
19,4.5,16,"[36, 39]"
20,3.5,36,"[22, 25]"
21,3.75,35,"[22, 24]"
22,3.75,24,[17]
23,5.0,31,"[12, 15]"
24,3.75,14,[17]
25,1.25,16,[22]
26,6.75,28,"[31, 34]"
27,3.75,33,[14]
28,5.25,5,"[22, 25]"
29,5.0,8,[32]
30,2.75,15,[18]
31,1.75,11,[27]
32,1.75,43,"[11, 14]"
33,3.25,8,"[41, 44]"
34,2.5,27,"[14, 17]"
35,2.0,8,"[26, 34]"
36,3.75,24,"[29, 31]"
37,4.0,29,"[22, 25, 28]"
38,1.75,14,"[13, 18]"
39,2.5,27,"[36, 39]"
40,3.0,12,"[24, 27]"
41,3.0,26,"[13, 16, 19]"
42,2.25,42,"[13, 16, 19]"
43,4.25,19,"[33, 36]"
44,3.25,18,"[31, 38]"
45,4.0,20,"[15, 18]"
46,3.75,16,[36]
47,1.75,13,"[24, 25]"
48,1.75,32,"[16, 32]"
49,3.0,10,"[24, 31]"
50,4.75,21,"[23, 41]"
51,1.75,43,"[41, 45]"
52,2.0,14,[13]
53,3.25,32,"[31, 34, 47]"
54,5.0,14,[32]
55,5.25,7,[22]
56,4.75,25,"[23, 26, 29]"
57,1.75,26,[22]
58,1.75,22,[16]
59,2.5,24,"[28, 32]"
60,1.5,21,"[18, 45]"
61,2.5,12,[36]
62,3.25,32,"[22, 32]"
63,4.5,16,"[13, 16]"
64,1.25,34,"[38, 42]"
65,3.0,6,"[16, 42]"
66,2.75,16,"[12, 34]"
67,5.0,10,"[21, 24]"
68,5.0,10,"[14, 31]"
69,5.0,7,"[16, 19]"
70,3.25,18,"[21, 42]"
71,1.25,29,"[36, 39]"
72,3.5,12,[37]
73,1.75,20,"[12, 22]"
74,1.5,10,"[42, 46]"
75,1.5,18,"[13, 15, 16, 18, 19]"
76,5.25,46,[13]
77,3.5,20,"[14, 15]"
78,3.75,7,"[32, 35]"
79,2.5,30,"[29, 43]"
80,3.0,13,"[11, 14]"
81,2.75,27,"[35, 38]"
82,3.0,9,[28]
83,4.5,25,"[44, 46]"
84,2.25,10,"[22, 25]"
85,2.0,72,"[21, 24]"
86,4.5,6,"[13, 16]"
87,3.5,45,[37]
88,2.75,18,"[22, 45]"
89,1.25,32,"[25, 31, 34, 37]"
90,2.0,10,"[11, 14]"
91,2.5,11,"[25, 44]"
92,3.25,9,[38]
93,4.0,19,"[11, 14]"
94,3.5,16,"[15, 18]"
95,1.5,26,[36]
96,3.0,24,"[35, 38]"
97,4.5,9,[28]
98,3.25,14,[15]
99,3.0,20,"[16, 19]"
100,2.5,38,[32]
101,1.75,30,"[11, 14]"
102,2.0,15,"[38, 41]"
103,3.25,23,"[37, 39]"
104,3.25,39,"[25, 28]"
105,6.5,19,[24]
106,3.0,18,"[19, 28]"
107,1.5,26,"[43, 44]"
108,1.0,22,"[38, 43]"
109,3.25,9,"[21, 24]"
110,3.75,15,"[33, 41]"
111,3.75,14,"[14, 15]"
112,5.25,13,"[31, 35, 38]"
113,3.25,16,"[13, 43]"
114,3.5,17,"[26, 29]"
115,2.75,24,"[16, 19]"
116,1.0,20,"[41, 47]"
117,3.0,28,[32]
118,2.75,15,"[11, 14]"
119,5.0,13,"[19, 25]"
120,3.75,8,"[24, 27]"
121,1.5,31,"[25, 26, 29]"
122,4.25,28,[37]
123,3.25,9,"[21, 35]"
124,2.25,15,"[15, 18]"
125,4.0,7,[35]
126,3.25,14,"[35, 38]"
127,5.5,12,"[31, 35]"
128,1.5,27,"[19, 39]"
129,6.75,9,"[33, 36]"
130,1.25,28,"[33, 36]"
131,3.5,25,"[25, 42]"
132,1.0,26,"[22, 45]"
133,4.25,22,"[21, 24]"
134,4.0,28,"[31, 34]"
135,3.5,14,[12]
136,3.25,12,"[14, 17]"
137,1.75,21,"[11, 14]"
138,4.0,37,"[19, 39]"
139,4.5,21,[13]
140,1.75,22,"[31, 47]"
141,3.0,28,"[12, 15, 41]"
142,2.25,31,"[31, 34]"
143,2.75,24,"[29, 32]"
144,3.0,30,[13]
