g,CDF
0,0
1,4.81974E-12
2,1.48374E-09
3,3.97126E-08
4,3.98575E-07
5,2.3324E-06
6,9.66805E-06
7,3.15076E-05
8,8.59626E-05
9,0.000204543
10,0.000436597
11,0.000853111
12,0.001549215
13,0.002644913
14,0.004283775
15,0.006629563
16,0.009861023
17,0.014165204
18,0.019729835
19,0.026735294
20,0.035346749
21,0.045706932
22,0.057929978
23,0.072096612
24,0.088250865
25,0.106398382
26,0.126506286
27,0.148504494
28,0.172288276
29,0.197721858
30,0.224642813
31,0.25286698
32,0.282193686
33,0.312411029
34,0.343301034
35,0.374644527
36,0.406225581
37,0.437835461
38,0.469275991
39,0.500362322
40,0.530925089
41,0.560811986
42,0.589888776
43,0.6180398
44,0.645168027
45,0.671194715
46,0.696058747
47,0.719715694
48,0.742136677
49,0.763307085
50,0.783225183
51,0.801900684
52,0.819353295
53,0.835611293
54,0.85071014
55,0.864691182
56,0.877600411
57,0.889487348
58,0.90040401
59,0.910403994
60,0.919541669
61,0.927871466
62,0.935447279
63,0.942321957
64,0.948546885
65,0.95417165
66,0.959243778
67,0.963808545
68,0.967908837
69,0.971585073
70,0.974875158
71,0.977814491
72,0.980435987
73,0.98277014
74,0.984845094
75,0.986686737
76,0.988318805
77,0.989762996
78,0.991039085
79,0.992165046
80,0.993157172
